City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
311,Belousovka,KZ,50.1339,82.5239,58.05,82,40,2.24,scattered clouds
312,Nizhniy Kuranakh,RU,58.8353,125.4869,70.79,84,100,8.12,overcast clouds
313,Shaki,AZ,41.0833,47.1667,64.72,60,4,5.79,clear sky
314,Ridgecrest,US,35.6225,-117.6709,98.46,11,0,16.11,clear sky
315,Tukrah,LY,32.5341,20.5791,78.17,83,0,6.24,clear sky
316,Puerto Colombia,CO,10.9878,-74.9547,80.69,83,23,12.95,few clouds
317,Vermilion,US,40.1667,-87.7506,83.52,72,0,9.22,clear sky
318,Naruto,JP,34.1833,134.6167,80.26,73,100,5.26,overcast clouds
319,Eureka,US,40.8021,-124.1637,70.66,79,42,5.99,scattered clouds
320,Santa Cruz De Tenerife,ES,28.4682,-16.2546,71.58,87,100,25.32,overcast clouds
321,Wuwei,CN,37.9281,102.6414,80.04,24,5,14.72,clear sky
322,Okhotsk,RU,59.3833,143.3,63.09,80,40,11.48,scattered clouds
323,Airai,TL,-8.9266,125.4092,61.77,64,100,2.59,overcast clouds
324,Durazno,UY,-33.4131,-56.5006,62.15,95,100,13.2,overcast clouds
325,Jaru,BR,-10.4389,-62.4664,74.32,52,0,1.16,clear sky
326,Zyryanka,RU,65.75,150.85,62.08,61,100,9.4,overcast clouds
327,Thompson,CA,55.7435,-97.8558,69.96,40,100,9.22,overcast clouds
328,Kontagora,NG,10.3999,5.4695,74.55,80,100,3.04,overcast clouds
329,Saint-Francois,FR,46.4154,3.9054,51.67,93,0,2.3,clear sky
330,Axim,GH,4.8699,-2.2405,75.31,90,79,8.12,light rain
331,Pathein,MM,16.7833,94.7333,81.54,84,95,3.94,overcast clouds
332,Vadso,NO,70.0744,29.7487,54.48,87,20,10.36,few clouds
333,Nyimba,ZM,-14.5566,30.8149,58.14,74,1,3.8,clear sky
334,Le Port,RE,-20.9373,55.2919,69.26,58,43,3.96,scattered clouds
335,Cabedelo,BR,-6.9811,-34.8339,75.87,87,53,12.66,light rain
336,Luino,IT,46.0019,8.7451,73.49,74,40,1.14,scattered clouds
337,Jaque,PA,7.5175,-78.1703,78.8,87,100,1.97,overcast clouds
338,Yar-Sale,RU,66.8333,70.8333,56.43,74,100,5.73,overcast clouds
339,Kamenka,RU,51.3223,42.7678,58.71,65,1,6.15,clear sky
340,Kismayo,SO,-0.3582,42.5454,76.01,80,100,20.33,overcast clouds
341,Faya,SA,18.3851,42.4509,66.72,28,99,1.79,overcast clouds
342,Pisco,PE,-13.7,-76.2167,62.65,77,2,12.66,haze
343,Laguna,US,38.421,-121.4238,85.32,49,0,13.8,clear sky
344,Vigrestad,NO,58.5667,5.7,55.96,89,100,25.84,overcast clouds
345,Myitkyina,MM,25.3833,97.4,79.5,94,98,1.57,overcast clouds
346,Tyshkivka,UA,48.4967,30.9423,64.67,80,90,13.44,overcast clouds
347,Altay,CN,47.8667,88.1167,65.39,46,0,1.66,clear sky
