City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
172,Bud,US,2022-06-28 02:01:50,39.447,-86.1758,69.75,51,39,6.69
173,Puerto Del Rosario,ES,2022-06-28 02:01:51,28.5004,-13.8627,69.55,68,100,16.11
174,College,US,2022-06-28 01:57:36,64.8569,-147.8028,82.99,31,20,10.36
175,Makakilo City,US,2022-06-28 02:01:51,21.3469,-158.0858,81.68,62,100,17.43
176,Yulara,AU,2022-06-28 02:01:52,-25.2406,130.9889,58.8,36,100,14.61
177,Upper Arlington,US,2022-06-28 02:01:52,39.9945,-83.0624,69.46,48,0,5.75
178,Khorramshahr,IR,2022-06-28 02:01:53,30.4397,48.1664,88.02,21,0,14.27
179,Tuatapere,NZ,2022-06-28 01:56:47,-46.1333,167.6833,45.05,65,1,1.54
180,Geraldton,AU,2022-06-28 01:59:46,-28.7667,114.6,61.21,77,40,14.97
181,Deep River,CA,2022-06-28 02:00:06,46.1001,-77.4995,60.55,92,100,4.05
182,Matagami,CA,2022-06-28 02:01:54,49.7502,-77.6328,48.61,70,46,2.75
183,Ulaangom,MN,2022-06-28 02:01:54,49.9811,92.0667,86.97,22,6,2.53
184,Krasnovishersk,RU,2022-06-28 02:01:55,60.4078,57.082,40.42,82,99,8.28
185,Maragogi,BR,2022-06-28 01:59:57,-9.0122,-35.2225,75.22,82,10,11.7
186,Muli,MV,2022-06-28 02:01:55,2.9167,73.5667,82.36,74,100,10.07
187,Kununurra,AU,2022-06-28 01:54:03,-15.7667,128.7333,71.58,43,57,14.97
188,Lebyazhye,RU,2022-06-28 02:02:56,55.2689,66.4947,52.88,80,100,13.29
189,Talnakh,RU,2022-06-28 02:02:57,69.4865,88.3972,58.21,39,8,5.14
190,Dikson,RU,2022-06-28 02:02:57,73.5069,80.5464,31.59,87,100,17.74
191,Callaway,US,2022-06-28 01:58:13,30.153,-85.5699,82.9,81,20,4.0
192,Pisco,PE,2022-06-28 01:56:36,-13.7,-76.2167,64.02,82,24,5.75
193,Lodja,CD,2022-06-28 02:02:58,-3.4833,23.4333,69.76,50,74,3.04
194,Neiafu,TO,2022-06-28 02:02:58,-18.65,-173.9833,79.14,82,44,13.73
195,Pevek,RU,2022-06-28 01:55:25,69.7008,170.3133,39.31,70,99,5.1
196,Beringovskiy,RU,2022-06-28 02:02:59,63.05,179.3167,52.21,74,83,14.12
197,Todos Santos,MX,2022-06-28 01:58:09,23.45,-110.2167,79.66,82,75,2.51
198,Tura,IN,2022-06-28 01:55:20,25.5198,90.2201,73.92,98,100,5.84
199,Coruripe,BR,2022-06-28 02:03:00,-10.1256,-36.1756,73.56,87,96,13.56
200,Djenne,ML,2022-06-28 02:03:01,13.9061,-4.5533,88.95,36,100,2.13
201,Souillac,MU,2022-06-28 02:03:01,-20.5167,57.5167,70.18,64,40,14.97
202,Baherden,TM,2022-06-28 02:03:02,38.4362,57.4316,88.47,40,0,5.79
203,Beachwood,US,2022-06-28 02:03:03,41.4645,-81.5087,67.51,64,0,9.22
204,Lisakovsk,KZ,2022-06-28 02:03:04,52.5369,62.4936,60.3,66,20,12.28
205,Rondonopolis,BR,2022-06-28 02:03:01,-16.4708,-54.6356,67.8,43,0,2.15
206,Goundam,ML,2022-06-28 02:03:05,16.4145,-3.6708,92.28,32,8,4.09
207,Fortuna,US,2022-06-28 02:03:06,40.5982,-124.1573,64.92,80,40,1.99
208,Boo,SE,2022-06-28 02:03:06,59.3333,18.2833,68.59,82,40,6.91
209,Jati,PK,2022-06-28 02:03:07,24.3539,68.2671,85.33,77,18,10.02
210,Bodinayakkanur,IN,2022-06-28 02:03:08,10.0167,77.35,77.36,69,94,7.0
211,Kirakira,SB,2022-06-28 02:03:08,-10.4544,161.9205,79.86,81,100,8.21
212,Petrolina,BR,2022-06-28 02:01:22,-9.3986,-40.5008,69.19,79,4,22.28
213,Tambilil,PH,2022-06-28 02:03:09,5.9622,124.6697,85.77,66,67,3.94
214,Utete,TZ,2022-06-28 02:03:10,-7.986,38.758,64.51,82,11,2.77
215,Port Alfred,ZA,2022-06-28 02:03:10,-33.5906,26.891,58.68,55,0,8.57
216,Hithadhoo,MV,2022-06-28 01:54:06,-0.6,73.0833,83.16,71,98,6.82
217,Lagoa,PT,2022-06-28 01:53:54,39.05,-27.9833,64.08,80,10,9.28
218,Magalia,US,2022-06-28 02:03:11,39.8121,-121.5783,95.14,12,1,6.91
219,Brownwood,US,2022-06-28 02:03:12,31.7093,-98.9912,87.8,45,0,9.22
220,Kaitangata,NZ,2022-06-28 01:55:15,-46.2817,169.8464,45.46,76,36,4.52
221,La Rioja,ES,2022-06-28 02:03:12,42.25,-2.5,40.78,94,88,3.78
222,Minnedosa,CA,2022-06-28 02:03:14,50.2453,-99.8436,58.84,82,4,8.77
223,Tilichiki,RU,2022-06-28 02:03:15,60.4667,166.1,59.9,71,36,7.49
224,Ilulissat,GL,2022-06-28 02:03:16,69.2167,-51.1,44.62,81,20,0.0
225,Ippy,CF,2022-06-28 02:03:17,6.2679,21.2247,67.42,96,72,2.39
226,Raudeberg,NO,2022-06-28 02:03:17,61.9875,5.1352,56.07,92,100,10.4
227,Sisimiut,GL,2022-06-28 02:01:19,66.9395,-53.6735,40.01,93,60,1.3
228,Kavaratti,IN,2022-06-28 02:03:18,10.5669,72.642,81.41,80,100,20.67
229,Springbok,ZA,2022-06-28 02:03:19,-29.6643,17.8865,54.93,34,0,13.94
230,Pitimbu,BR,2022-06-28 02:03:20,-7.4706,-34.8086,72.19,85,90,16.84
231,Akyab,MM,2022-06-28 02:03:20,20.15,92.9,81.45,82,98,8.3
232,Quepos,CR,2022-06-28 02:03:21,9.4236,-84.1652,76.78,86,100,5.06
233,Sechura,PE,2022-06-28 02:04:21,-5.5569,-80.8222,63.68,81,4,13.71
234,Nioro,GM,2022-06-28 02:04:22,13.35,-15.75,80.17,81,100,8.39
235,Manbij,SY,2022-06-28 02:04:22,36.5281,37.9549,70.65,60,0,7.4
236,Chuy,UY,2022-06-28 02:04:23,-33.6971,-53.4616,51.64,89,100,4.29
237,Coihaique,CL,2022-06-28 02:04:23,-45.5752,-72.0662,39.81,93,0,3.44
238,Tambacounda,SN,2022-06-28 02:04:24,13.7539,-13.7586,84.0,64,98,9.46
239,Whitehorse,CA,2022-06-28 01:59:42,60.7161,-135.0538,75.09,50,75,4.61
240,Sobolevo,RU,2022-06-28 02:04:25,54.4299,31.8996,66.33,92,11,6.24
241,Saldanha,ZA,2022-06-28 02:04:25,-33.0117,17.9442,60.6,58,0,10.94
242,Pacific Grove,US,2022-06-28 02:01:22,36.6177,-121.9166,74.21,86,31,7.0
243,Bonga,ET,2022-06-28 02:04:26,7.2833,36.2333,57.07,97,100,1.32
244,Udachnyy,RU,2022-06-28 02:04:26,66.4167,112.4,50.45,53,91,12.88
245,Cabo San Lucas,MX,2022-06-28 02:01:32,22.8909,-109.9124,87.62,73,77,8.99
246,Longhua,CN,2022-06-28 02:04:27,23.6137,114.1919,89.11,60,100,4.16
247,San Francisco,US,2022-06-28 02:01:16,37.7749,-122.4194,84.31,73,20,25.32
248,Ribeira Grande,PT,2022-06-28 02:04:28,38.5167,-28.7,65.1,82,52,9.08
249,Sur,OM,2022-06-28 01:55:16,22.5667,59.5289,86.04,69,48,10.4
250,Borogontsy,RU,2022-06-28 02:04:29,62.6683,131.1683,71.46,67,52,9.44
251,Butaritari,KI,2022-06-28 02:04:29,3.0707,172.7902,81.66,79,77,11.48
252,Galle,LK,2022-06-28 02:04:30,6.0367,80.217,80.6,83,100,13.24
253,Pontianak,ID,2022-06-28 02:03:33,-0.0333,109.3333,84.18,79,20,5.75
254,Portland,US,2022-06-28 02:03:29,45.5234,-122.6762,91.33,27,20,17.27
255,Turukhansk,RU,2022-06-28 02:04:31,65.8167,87.9833,62.62,64,98,14.5
256,Bathsheba,BB,2022-06-28 02:04:31,13.2167,-59.5167,80.56,83,98,21.21
257,Coquimbo,CL,2022-06-28 02:02:59,-29.9533,-71.3436,55.13,76,0,5.75
258,Kloulklubed,PW,2022-06-28 02:04:32,7.0419,134.2556,77.5,77,100,11.68
259,Lata,PT,2022-06-28 02:04:32,40.1629,-8.3327,55.08,95,1,1.61
260,Hualmay,PE,2022-06-28 02:04:33,-11.0964,-77.6139,62.74,84,100,11.61
261,Port Hawkesbury,CA,2022-06-28 02:04:33,45.6169,-61.3485,67.8,94,99,8.99
262,Nouadhibou,MR,2022-06-28 02:04:33,20.931,-17.0347,68.16,81,9,22.73
263,Buchanan,LR,2022-06-28 02:04:34,5.8808,-10.0467,76.35,89,93,6.08
264,Castelo Do Piaui,BR,2022-06-28 02:04:34,-5.3222,-41.5525,80.51,46,100,3.51
265,Ocos,GT,2022-06-28 02:04:35,14.5094,-92.1933,77.18,73,2,2.86
266,Yumen,CN,2022-06-28 01:55:16,40.2833,97.2,88.16,14,9,5.26
267,Tarare,FR,2022-06-28 02:04:36,45.8976,4.4327,58.53,95,84,4.05
268,Port-Gentil,GA,2022-06-28 02:04:36,-0.7193,8.7815,72.25,88,100,13.98
269,Lesosibirsk,RU,2022-06-28 02:04:37,58.2358,92.4828,65.16,94,99,12.59
270,Kahului,US,2022-06-28 01:54:44,20.8947,-156.47,80.83,80,100,11.01
271,Fairfield,US,2022-06-28 02:03:14,41.2668,-73.3162,70.45,96,75,4.61
272,Orlik,RU,2022-06-28 01:55:17,52.5178,99.825,77.5,32,38,2.93
273,Sorland,NO,2022-06-28 02:04:37,67.667,12.6934,51.66,91,16,12.24
274,Kurilsk,RU,2022-06-28 02:04:38,45.2333,147.8833,53.62,86,20,9.31
275,Ostrovnoy,RU,2022-06-28 02:04:38,68.0531,39.5131,41.56,80,6,4.68
276,Praya,CV,2022-06-28 02:00:14,14.9215,-23.5087,72.36,87,37,11.23
277,Ondjiva,AO,2022-06-28 02:04:39,-17.0667,15.7333,49.53,57,0,7.52
278,Constitucion,CL,2022-06-28 02:03:32,-35.3333,-72.4167,53.15,87,70,15.39
279,Yaan,NG,2022-06-28 02:05:40,7.3833,8.5667,71.01,96,100,1.9
280,Diban,SY,2022-06-28 02:05:40,35.0365,40.5167,78.8,42,0,9.13
281,New Norfolk,AU,2022-06-28 02:05:41,-42.7826,147.0587,56.88,76,100,5.99
282,Moose Factory,CA,2022-06-28 02:05:41,51.2585,-80.6094,48.97,59,39,6.17
283,Oga,IT,2022-06-28 02:05:42,46.4631,10.347,58.8,84,64,2.84
284,Podgornaya,RU,2022-06-28 02:05:42,44.2031,43.4297,65.25,92,100,3.13
285,Nanortalik,GL,2022-06-28 02:05:43,60.1432,-45.2371,43.86,79,100,10.63
286,Terney,RU,2022-06-28 02:05:43,45.0503,136.6092,59.0,95,100,6.33
287,Noumea,NC,2022-06-28 02:02:34,-22.2763,166.4572,80.58,99,100,8.57
288,Plettenberg Bay,ZA,2022-06-28 02:05:44,-34.0527,23.3716,59.11,52,2,5.5
289,Nueve De Julio,AR,2022-06-28 02:05:44,-35.4444,-60.8831,48.58,74,100,6.08
290,Bonavista,CA,2022-06-28 02:05:45,48.6499,-53.1147,57.94,96,64,13.76
291,Morant Bay,JM,2022-06-28 02:05:26,17.8815,-76.4093,76.71,83,32,5.64
292,Kikwit,CD,2022-06-28 02:05:45,-5.041,18.8162,69.94,44,19,3.18
293,Rehoboth,NA,2022-06-28 02:05:46,-23.3167,17.0833,46.49,71,5,7.72
294,Bolotnoye,RU,2022-06-28 02:05:46,55.6717,84.3981,54.72,85,100,14.99
